nazwa_oryginalna,etykieta_docelowa (z makra),standard_key,ryzyko,sekcja (uzupelnij),znak (uzupelnij)
Krótkoterminowe zobowiązania i rezerwy na zobowiązania,Zobowiązania krótkoterminowe,current_liabilities,,,
Razem zobowiązania krótkoterminowe,Zobowiązania krótkoterminowe,current_liabilities,,,
Zobowiązania i rezerwy krótkoterminowe,Zobowiązania krótkoterminowe,current_liabilities,,,
Zobowiązania krótkoterminowe ogółem,Zobowiązania krótkoterminowe,current_liabilities,,,
Zobowiązania krótkoterminowe(na koniec bieżącego kwartału i koniec poprzedniego roku obrotowego),Zobowiązania krótkoterminowe,current_liabilities,,,
"Zobowiązania krótkoterminowe, w tym:",Zobowiązania krótkoterminowe,current_liabilities,,,
Zysk/strata za rok obrotowy na działalności zaniechanej,Zysk (strata) netto z działalności zaniechanej,discontinued_profit,,,
2 Dywidendy i inne wpłaty na rzecz właścicieli,Dywidenda,dividend,,,
2 Dywidendy i inne wpływy na rzecz właścicieli,Dywidenda,dividend,,,
2 Dywidendy i inne wypłaty na rzecz właścicieli,Dywidenda,dividend,,,
2 Dywidendy i inne wypłaty na rzecz właścicieli,Dywidenda,dividend,,,
"2,Dywidendy i inne wypłaty na rzecz właścicieli",Dywidenda,dividend,,,
"2,Dywidendy i inne wypłaty na rzecz właścicieli, wydatki z tytułu podziału zysku",Dywidenda,dividend,,,
"3,Dywidendy wypłacone",Dywidenda,dividend,,,
3.Dywidendy wypłacone,Dywidenda,dividend,,,
"C,II,2 +Dywidendy i inne wypłaty na rzecz właścicieli",Dywidenda,dividend,,,
Dywidenda wypłacona,Dywidenda,dividend,nazwa generyczna - moze pasowac do wielu pozycji,,
